popularity,key,release_date,song_name
[25,6,2017,"PONYTAIL"],
[41,9,2017,"JELLY JELLY"],
[30,7,2017,"PIT-A-PAT"],
[27,8,2017,"NEXT PAGE"],
[44,11,2017,"ONE IN A MILLION"],
[61,1,2017,"Knock Knock"],
[50,5,2017,"Ice Cream"],
[47,2,2017,"TT"],
[36,6,2017,"1 To 10"],
[30,6,2017,"Ponytail"],
[33,1,2017,"Jelly Jelly"],
[31,7,2017,"Pit-a-Pat"],
[31,8,2017,"Next Page"],
[37,11,2017,"One In A Million"],
[68,2,2016,"TT"],
[50,1,2016,"1 To 10"],
[39,6,2016,"Ponytail"],
[47,9,2016,"Jelly Jelly"],
[40,7,2016,"Pit-a-Pat"],
[41,8,2016,"Next Page"],
[53,11,2016,"One In A Million"],
[47,3,2022,"Talk that Talk"],
[26,10,2022,"Queen of Hearts"],
[26,2,2022,"Basics"],
[22,1,2022,"Trouble"],
[23,7,2022,"Brave"],
[21,5,2022,"Gone"],
[22,5,2022,"When We Were Kids"],
[66,7,2022,"Celebrate"],
[56,9,2022,"Just be yourself"],
[53,10,2022,"I CAN'T STOP ME - Japanese ver."],
[52,10,2022,"CRY FOR ME - Japanese ver."],
[52,8,2022,"Alcohol-Free - Japanese ver."],
[50,11,2022,"SCIENTIST - Japanese ver."],
[45,11,2022,"SCIENTIST - Japanese ver."],
[11,6,2022,"The Feels (Benny Benassi Remix)"],
[14,9,2022,"The Feels"],
[1,6,2022,"The Feels (The Stereotypes Remix)"],
[1,9,2022,"The Feels (YVES V Remix)"],
[1,9,2022,"The Feels (Instrumental)"],
[1,11,2022,"The Feels (Benny Benassi Remix Extended)"],
[0,11,2022,"The Feels (The Stereotypes Remix Instrumental)"],
[1,11,2022,"The Feels (YVES V Remix Instrumental)"],
[1,11,2022,"The Feels (Benny Benassi Remix Instrumental)"],
[53,5,2021,"Doughnut"],
[58,9,2021,"Wonderful Day"],
[37,1,2021,"Doughnut (Instrumental)"],
[29,9,2021,"Wonderful Day (Instrumental)"],
[12,5,2021,"Doughnut"],
[17,9,2021,"Wonderful Day"],
[2,1,2021,"Doughnut (Instrumental)"],
[2,9,2021,"Wonderful Day (Instrumental)"],
[69,5,2021,"Doughnut"],
[27,6,2021,"The Feels - Benny Benassi Remix"],
[28,9,2021,"The Feels"],
[25,6,2021,"The Feels - The Stereotypes Remix"],
[22,9,2021,"The Feels - YVES V Remix"],
[15,9,2021,"The Feels - Instrumental"],
[12,11,2021,"The Feels - Benny Benassi Remix Extended"],
[10,11,2021,"The Feels - The Stereotypes Remix Instrumental"],
[10,11,2021,"The Feels - YVES V Remix Instrumental"],
[7,11,2021,"The Feels - Benny Benassi Remix Instrumental"],
[40,6,2021,"The Feels (Benny Benassi Remix)"],
[63,9,2021,"The Feels"],
[36,6,2021,"The Feels (The Stereotypes Remix)"],
[37,9,2021,"The Feels (YVES V Remix)"],
[33,9,2021,"The Feels (Instrumental)"],
[25,11,2021,"The Feels (Benny Benassi Remix Extended)"],
[26,11,2021,"The Feels (The Stereotypes Remix � Instrumental)"],
[26,11,2021,"The Feels (YVES V Remix � Instrumental)"],
[21,11,2021,"The Feels (Benny Benassi Remix � Instrumental)"],
[56,9,2021,"The Feels"],
[29,6,2021,"The Feels - The Stereotypes Remix"],
[21,9,2021,"The Feels - YVES V Remix"],
[13,9,2021,"The Feels - Instrumental"],
[10,11,2021,"The Feels - The Stereotypes Remix Instrumental"],
[10,11,2021,"The Feels - YVES V Remix Instrumental"],
[22,9,2021,"The Feels"],
[3,6,2021,"The Feels (The Stereotypes Remix)"],
[3,9,2021,"The Feels (YVES V Remix)"],
[1,9,2021,"The Feels (Instrumental)"],
[1,11,2021,"The Feels (The Stereotypes Remix Instrumental)"],
[1,11,2021,"The Feels (YVES V Remix Instrumental)"],
