popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[49,0.319,0.671,129.955,183001,2018/9/12,"2018/9/12","2018/9/12"],
[55,0.141,0.84,174.059,202010,2018/9/12,"2018/9/12","2018/9/12"],
[43,0.109,0.871,125.005,203040,2018/9/12,"2018/9/12","2018/9/12"],
[47,0.0541,0.433,205.786,272493,2018/9/12,"2018/9/12","2018/9/12"],
[41,0.0673,0.579,129.985,203587,2018/9/12,"2018/9/12","2018/9/12"],
[49,0.318,0.795,125.979,211800,2018/9/12,"2018/9/12","2018/9/12"],
[42,0.145,0.75,157.041,213956,2018/9/12,"2018/9/12","2018/9/12"],
[50,0.0975,0.358,142.003,231120,2018/9/12,"2018/9/12","2018/9/12"],
[52,0.0808,0.787,106.093,203816,2018/9/12,"2018/9/12","2018/9/12"],
[57,0.166,0.735,137.982,237685,2018/11/5,"2018/11/5","2018/11/5"],
[38,0.0677,0.925,135.004,212871,2018/11/5,"2018/11/5","2018/11/5"],
[33,0.229,0.836,157.012,186287,2018/11/5,"2018/11/5","2018/11/5"],
[28,0.435,0.299,102.398,181199,2018/11/5,"2018/11/5","2018/11/5"],
[29,0.559,0.794,170.109,222554,2018/11/5,"2018/11/5","2018/11/5"],
[33,0.122,0.372,97.049,203860,2018/11/5,"2018/11/5","2018/11/5"],
[30,0.11,0.659,137.946,196314,2018/11/5,"2018/11/5","2018/11/5"],
[69,0.166,0.735,137.981,237680,2018/11/5,"2018/11/5","2018/11/5"],
[48,0.0685,0.913,134.995,212867,2018/11/5,"2018/11/5","2018/11/5"],
[44,0.196,0.834,156.954,186293,2018/11/5,"2018/11/5","2018/11/5"],
[41,0.31,0.305,104.909,181200,2018/11/5,"2018/11/5","2018/11/5"],
[45,0.573,0.765,170.091,222547,2018/11/5,"2018/11/5","2018/11/5"],
[45,0.123,0.462,193.551,203867,2018/11/5,"2018/11/5","2018/11/5"],
[36,0.105,0.701,137.943,196320,2018/11/5,"2018/11/5","2018/11/5"],
[41,0.156,0.468,104.977,210451,2018/12/12,"2018/12/12","2018/12/12"],
[30,0.0901,0.353,142.045,227732,2018/12/12,"2018/12/12","2018/12/12"],
[32,0.166,0.735,137.982,237685,2018/12/12,"2018/12/12","2018/12/12"],
[20,0.0677,0.925,135.004,212871,2018/12/12,"2018/12/12","2018/12/12"],
[19,0.229,0.836,157.012,186287,2018/12/12,"2018/12/12","2018/12/12"],
[17,0.435,0.299,102.398,181199,2018/12/12,"2018/12/12","2018/12/12"],
[17,0.559,0.794,170.109,222554,2018/12/12,"2018/12/12","2018/12/12"],
[21,0.122,0.372,97.049,203860,2018/12/12,"2018/12/12","2018/12/12"],
[21,0.11,0.659,137.946,196314,2018/12/12,"2018/12/12","2018/12/12"],
[53,0.156,0.468,104.976,210440,2018/12/12,"2018/12/12","2018/12/12"],
[44,0.103,0.373,142,227733,2018/12/12,"2018/12/12","2018/12/12"],
[45,0.162,0.747,137.985,237693,2018/12/12,"2018/12/12","2018/12/12"],
[33,0.0727,0.929,135.006,212867,2018/12/12,"2018/12/12","2018/12/12"],
[32,0.177,0.807,156.976,186293,2018/12/12,"2018/12/12","2018/12/12"],
[30,0.32,0.31,104.895,181187,2018/12/12,"2018/12/12","2018/12/12"],
[33,0.56,0.783,170.046,222560,2018/12/12,"2018/12/12","2018/12/12"],
[34,0.121,0.413,193.199,203867,2018/12/12,"2018/12/12","2018/12/12"],
[35,0.11,0.656,137.956,196320,2018/12/12,"2018/12/12","2018/12/12"],
[47,0.237,0.562,123.043,237490,2018/12/26,"2018/12/26","2018/12/26"],
[41,0.108,0.668,137.93,197800,2018/12/26,"2018/12/26","2018/12/26"],
[35,0.319,0.671,129.955,183001,2018/12/26,"2018/12/26","2018/12/26"],
[38,0.141,0.84,174.059,202010,2018/12/26,"2018/12/26","2018/12/26"],
[35,0.109,0.871,125.005,203040,2018/12/26,"2018/12/26","2018/12/26"],
[37,0.0541,0.433,205.786,272493,2018/12/26,"2018/12/26","2018/12/26"],
[34,0.0673,0.579,129.985,203587,2018/12/26,"2018/12/26","2018/12/26"],
[34,0.318,0.795,125.979,211800,2018/12/26,"2018/12/26","2018/12/26"],
[33,0.145,0.75,157.041,213956,2018/12/26,"2018/12/26","2018/12/26"],
[38,0.0975,0.358,142.003,231120,2018/12/26,"2018/12/26","2018/12/26"],
[35,0.0808,0.787,106.093,203816,2018/12/26,"2018/12/26","2018/12/26"],
[60,0.107,0.644,128.983,206868,2019/9/23,"2019/9/23","2019/9/23"],
[38,0.14,0.716,133.987,177086,2019/9/23,"2019/9/23","2019/9/23"],
[40,0.338,0.851,119.999,186970,2019/9/23,"2019/9/23","2019/9/23"],
[37,0.14,0.619,128.038,193996,2019/9/23,"2019/9/23","2019/9/23"],
[47,0.0575,0.623,114.961,191228,2019/9/23,"2019/9/23","2019/9/23"],
[33,0.376,0.588,89.986,228917,2019/9/23,"2019/9/23","2019/9/23"],
[31,0.0926,0.68,112.006,217651,2019/9/23,"2019/9/23","2019/9/23"],
[72,0.107,0.644,128.981,206867,2019/9/23,"2019/9/23","2019/9/23"],
[49,0.144,0.761,133.994,177080,2019/9/23,"2019/9/23","2019/9/23"],
[53,0.338,0.847,120.004,186973,2019/9/23,"2019/9/23","2019/9/23"],
[50,0.135,0.659,127.983,194000,2019/9/23,"2019/9/23","2019/9/23"],
[58,0.0576,0.577,114.965,191227,2019/9/23,"2019/9/23","2019/9/23"],
[50,0.429,0.616,179.986,228907,2019/9/23,"2019/9/23","2019/9/23"],
[44,0.12,0.676,112.019,217693,2019/9/23,"2019/9/23","2019/9/23"],
[43,0.288,0.765,125.938,219625,2019/11/20,"2019/11/20","2019/11/20"],
[28,0.315,0.962,127.041,194973,2019/11/20,"2019/11/20","2019/11/20"],
[31,0.0975,0.616,112.006,217651,2019/11/20,"2019/11/20","2019/11/20"],
[30,0.0932,0.81,120.04,222093,2019/11/20,"2019/11/20","2019/11/20"],
[32,0.396,0.755,179.995,206974,2019/11/20,"2019/11/20","2019/11/20"],
[27,0.302,0.695,119.972,201600,2019/11/20,"2019/11/20","2019/11/20"],
[27,0.0413,0.634,115.017,188840,2019/11/20,"2019/11/20","2019/11/20"],
[33,0.0397,0.888,204.112,181693,2019/11/20,"2019/11/20","2019/11/20"],
[27,0.0541,0.43,83.482,209467,2019/11/20,"2019/11/20","2019/11/20"],
[33,0.336,0.536,80.01,226173,2019/11/20,"2019/11/20","2019/11/20"],
[49,0.288,0.765,125.938,219625,2019/11/20,"2019/11/20","2019/11/20"],
