popularity,speechiness,acousticness,release_date,song_name
[35,0.0633,0.00288,2018,"One More Time"],
[38,0.0894,0.177,2018,"Candy Pop"],
[34,0.0715,0.053,2018,"L.O.V.E"],
[37,0.0458,0.16,2018,"Wishing"],
[34,0.137,0.279,2018,"Say it again"],
[34,0.0807,0.209,2018,"Wake Me Up"],
[33,0.0696,0.016,2018,"BRAND NEW GIRL"],
[38,0.0361,0.465,2018,"Be as ONE"],
[35,0.0338,0.0148,2018,"I WANT YOU BACK"],
[40,0.0248,0.383,2018,"The Best Thing I Ever Did"],
[30,0.0376,0.572,2018,"Be as ONE - Korean Ver."],
[32,0.0374,0.0514,2018,"YES or YES"],
[20,0.0651,0.303,2018,"SAY YOU LOVE ME"],
[19,0.077,0.315,2018,"LALALA"],
[16,0.189,0.129,2018,"YOUNG & WILD"],
[17,0.148,0.319,2018,"SUNSET"],
[21,0.0338,0.511,2018,"AFTER MOON"],
[21,0.052,0.0154,2018,"BDZ - Korean Ver."],
[53,0.0248,0.383,2018,"The Best Thing I Ever Did"],
[43,0.0366,0.54,2018,"Be as ONE (Korean Version)"],
[45,0.0375,0.0597,2018,"YES or YES"],
[33,0.0661,0.307,2018,"SAY YOU LOVE ME"],
[32,0.0779,0.312,2018,"LALALA"],
[30,0.116,0.131,2018,"YOUNG & WILD"],
[33,0.212,0.325,2018,"SUNSET"],
[34,0.082,0.572,2018,"AFTER MOON"],
[35,0.0496,0.0158,2018,"BDZ (Korean Version)"],
[57,0.0374,0.0514,2018,"YES or YES"],
[37,0.0651,0.303,2018,"SAY YOU LOVE ME"],
[33,0.077,0.315,2018,"LALALA"],
[28,0.189,0.129,2018,"YOUNG & WILD"],
[29,0.148,0.319,2018,"SUNSET"],
[33,0.0338,0.511,2018,"AFTER MOON"],
[30,0.052,0.0154,2018,"BDZ - Korean Ver."],
[69,0.0374,0.0514,2018,"YES or YES"],
[48,0.0706,0.308,2018,"SAY YOU LOVE ME"],
[44,0.0722,0.296,2018,"LALALA"],
[41,0.105,0.119,2018,"YOUNG & WILD"],
[45,0.204,0.326,2018,"SUNSET"],
[45,0.0689,0.576,2018,"AFTER MOON"],
[36,0.0491,0.0124,2018,"BDZ"],
[59,0.0444,0.0113,2018,"BDZ"],
[49,0.0633,0.00288,2018,"One More Time"],
[55,0.0894,0.177,2018,"Candy Pop"],
[43,0.0715,0.053,2018,"L.O.V.E"],
[47,0.0458,0.16,2018,"Wishing"],
[41,0.137,0.279,2018,"Say it again"],
[49,0.0807,0.209,2018,"Wake Me Up"],
[42,0.0696,0.016,2018,"BRAND NEW GIRL"],
[49,0.0361,0.465,2018,"Be as ONE"],
[51,0.0338,0.0148,2018,"I WANT YOU BACK"],
[56,0.0924,0.106,2018,"Dance The Night Away"],
[36,0.0624,0.144,2018,"CHILLAX"],
[29,0.0439,0.0747,2018,"Shot thru the heart"],
[59,0.064,0.0846,2018,"What is Love?"],
[35,0.062,0.0817,2018,"SWEET TALKER"],
[31,0.1,0.0898,2018,"HO!"],
[26,0.0524,0.0135,2018,"DEJAVU"],
[31,0.0784,0.233,2018,"SAY YES"],
[34,0.05,0.0494,2018,"STUCK"],
[69,0.0941,0.106,2018,"Dance The Night Away"],
[49,0.0592,0.134,2018,"CHILLAX"],
[44,0.0413,0.0775,2018,"Shot Thru The Heart"],
[76,0.0658,0.0987,2018,"What is Love"],
[45,0.0653,0.0695,2018,"SWEET TALKER"],
[45,0.0979,0.105,2018,"HO!"],
[41,0.0649,0.0129,2018,"DEJAVU"],
[45,0.0785,0.238,2018,"SAY YES"],
[47,0.0537,0.0544,2018,"STUCK"],
[54,0.0635,0.0949,2017,"Heart Shaker"],
[54,0.0387,0.425,2017,"Merry & Happy"],
[31,0.0354,0.431,2017,"LIKEY"],
[28,0.135,0.553,2017,"TURTLE"],
[25,0.054,0.212,2017,"MISSING U"],
[21,0.151,0.355,2017,"WOW"],
[22,0.0465,0.125,2017,"FFW"],
[21,0.0531,0.0557,2017,"DING DONG"],
[23,0.0728,0.0743,2017,"44766"],
[24,0.0389,0.146,2017,"LOOK AT ME"],
[21,0.0428,0.0402,2017,"ROLLIN'"],
[21,0.0437,0.251,2017,"LOVE LINE"],
[20,0.0456,0.0574,2017,"DON'T GIVE UP"],
[25,0.0331,0.286,2017,"YOU IN MY HEART"],
[23,0.0344,0.848,2017,"JALJAYO GOOD NIGHT"],
[65,0.0647,0.105,2017,"Heart Shaker"],
[56,0.0377,0.403,2017,"Merry & Happy"],
[44,0.0332,0.437,2017,"Likey"],
[37,0.135,0.523,2017,"Turtle"],
[35,0.0482,0.22,2017,"Missing U"],
[32,0.149,0.355,2017,"Wow"],
[32,0.0431,0.126,2017,"Ffw"],
[31,0.051,0.0525,2017,"Ding Dong"],
[33,0.0705,0.0678,2017,"44766"],
[33,0.0386,0.165,2017,"Look At Me"],
[35,0.044,0.0512,2017,"Rollin'"],
[33,0.0456,0.269,2017,"Love Line"],
[30,0.0477,0.0592,2017,"Don't Give Up"],
[33,0.0331,0.291,2017,"You In My Heart"],
[37,0.0333,0.851,2017,"Jaljayo Good Night"],
[31,0.064,0.0967,2017,"Heart Shaker"],
[34,0.0387,0.425,2017,"Merry & Happy"],
[11,0.0344,0.399,2017,"LIKEY"],
[9,0.137,0.542,2017,"����� / TURTLE"],
[4,0.0468,0.247,2017,"MISSING U"],
[5,0.14,0.373,2017,"WOW"],
[4,0.0452,0.127,2017,"FFW"],
[3,0.0486,0.0555,2017,"DING DONG"],
[4,0.0672,0.0772,2017,"44766"],
[4,0.0367,0.166,2017," ��라��라� / LOOK AT ME"],
[4,0.0444,0.0429,2017,"ROLLIN�"],
[3,0.0442,0.242,2017,"LOVE LINE"],
[3,0.0466,0.0615,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP"],
[3,0.0327,0.31,2017," �� � / YOU IN MY HEART"],
[3,0.0333,0.84,2017,"�자 ���잇 / JALJAYO GOOD NIGHT"],
[52,0.0354,0.431,2017,"LIKEY"],
[41,0.135,0.553,2017,"TURTLE"],
