,popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name
111,35,0.713,0.841,8,0.0622,0.0859,0.0,0.0646,0.723,105.963,247360,4,TWICE,2020-10-26,SAY SOMETHING
112,34,0.362,0.813,5,0.113,0.0689,0.0,0.195,0.346,86.468,218533,1,TWICE,2020-10-26,BEHIND THE MASK
113,76,0.657,0.88,10,0.102,0.121,0.0,0.463,0.769,150.084,205493,4,TWICE,2020-10-26,I CAN'T STOP ME
114,57,0.8,0.81,4,0.0604,0.182,1.06e-06,0.107,0.694,105.042,179320,4,TWICE,2020-10-26,HELL IN HEAVEN
115,61,0.709,0.88,2,0.0585,0.0298,4.46e-06,0.103,0.713,119.948,214240,4,TWICE,2020-10-26,UP NO MORE
116,52,0.78,0.896,11,0.0614,0.0101,0.0,0.091,0.715,124.926,179587,4,TWICE,2020-10-26,DO WHAT WE LIKE
117,51,0.842,0.638,2,0.0684,0.207,0.0,0.118,0.606,115.051,208133,4,TWICE,2020-10-26,BRING IT BACK
118,50,0.669,0.84,7,0.0599,0.0294,0.0,0.663,0.483,105.009,196947,4,TWICE,2020-10-26,BELIEVER
119,55,0.629,0.837,0,0.258,0.139,0.0,0.107,0.423,105.882,193573,4,TWICE,2020-10-26,QUEEN
120,54,0.791,0.852,6,0.0449,0.296,1.56e-05,0.0999,0.509,100.062,181520,4,TWICE,2020-10-26,GO HARD
121,53,0.79,0.927,1,0.141,0.108,0.0,0.357,0.553,97.995,209480,4,TWICE,2020-10-26,SHOT CLOCK
122,51,0.509,0.574,5,0.262,0.533,0.0,0.0898,0.69,85.96,171053,4,TWICE,2020-10-26,HANDLE IT
123,51,0.676,0.597,5,0.0387,0.0953,0.0,0.455,0.522,100.156,198867,4,TWICE,2020-10-26,DEPEND ON YOU
124,55,0.713,0.841,8,0.0622,0.0859,0.0,0.0646,0.723,105.963,247360,4,TWICE,2020-10-26,SAY SOMETHING
125,50,0.362,0.813,5,0.113,0.0689,0.0,0.195,0.346,86.468,218533,1,TWICE,2020-10-26,BEHIND THE MASK
126,54,0.739,0.841,5,0.06,0.0312,0.0,0.173,0.562,106.99,199653,4,TWICE,2020-06-01,MORE & MORE
127,39,0.775,0.87,0,0.0576,0.0564,2.82e-06,0.273,0.501,129.956,225400,4,TWICE,2020-06-01,OXYGEN
128,35,0.7,0.92,10,0.0536,0.115,2.93e-06,0.701,0.685,108.006,193467,4,TWICE,2020-06-01,FIREWORK
129,36,0.818,0.633,7,0.0611,0.00539,0.00174,0.0446,0.814,111.517,186707,4,TWICE,2020-06-01,MAKE ME GO
130,34,0.696,0.751,11,0.161,0.138,0.0,0.282,0.478,110.8,168893,4,TWICE,2020-06-01,SHADOW
131,33,0.516,0.902,2,0.175,0.00146,5.31e-05,0.112,0.613,187.873,173347,4,TWICE,2020-06-01,DON'T CALL ME AGAIN
132,35,0.707,0.95,6,0.0645,0.0187,1.14e-05,0.35,0.589,110.029,191987,4,TWICE,2020-06-01,SWEET SUMMER DAY
133,67,0.739,0.841,5,0.06,0.0312,0.0,0.173,0.562,106.99,199653,4,TWICE,2020-06-01,MORE & MORE
134,51,0.775,0.87,0,0.0576,0.0564,2.82e-06,0.273,0.501,129.956,225400,4,TWICE,2020-06-01,OXYGEN
